T29,Patents,,,,,
400,Jordan,2010,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2020,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2022,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2005,Grants of patents (number),55,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2010,Grants of patents (number),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2020,Grants of patents (number),334,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2021,Grants of patents (number),166,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2022,Grants of patents (number),61,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2010,Patents in force (number),312,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2020,Patents in force (number),694,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
400,Jordan,2021,Patents in force (number),821,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,1995,Resident patent filings (per million population),65,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2005,Resident patent filings (per million population),101,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2010,Resident patent filings (per million population),105,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2020,Resident patent filings (per million population),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2022,Resident patent filings (per million population),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,1995,Grants of patents (number),"1,281",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2010,Grants of patents (number),"1,868",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2020,Grants of patents (number),709,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2021,Grants of patents (number),651,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2022,Grants of patents (number),585,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2010,Patents in force (number),581,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2020,Patents in force (number),"3,152",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2021,Patents in force (number),"3,137",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
398,Kazakhstan,2022,Patents in force (number),"2,855",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2020,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2021,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2022,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,1985,Grants of patents (number),98,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2005,Grants of patents (number),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2010,Grants of patents (number),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2020,Grants of patents (number),35,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2021,Grants of patents (number),35,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2022,Grants of patents (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
404,Kenya,2022,Patents in force (number),689,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
296,Kiribati,1985,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
414,Kuwait,2022,Grants of patents (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
414,Kuwait,2022,Patents in force (number),"1,808",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,1995,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2010,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2020,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2021,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2022,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,1995,Grants of patents (number),133,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2010,Grants of patents (number),109,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2020,Grants of patents (number),49,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2021,Grants of patents (number),39,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2022,Grants of patents (number),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2010,Patents in force (number),112,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2020,Patents in force (number),194,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2021,Patents in force (number),173,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
417,Kyrgyzstan,2022,Patents in force (number),175,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
418,Lao People's Dem. Rep.,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
418,Lao People's Dem. Rep.,2020,Grants of patents (number),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
418,Lao People's Dem. Rep.,2022,Grants of patents (number),36,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
418,Lao People's Dem. Rep.,2020,Patents in force (number),574,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,1995,Resident patent filings (per million population),85,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2005,Resident patent filings (per million population),53,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2010,Resident patent filings (per million population),101,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2020,Resident patent filings (per million population),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2021,Resident patent filings (per million population),67,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2022,Resident patent filings (per million population),66,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,1995,Grants of patents (number),629,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2005,Grants of patents (number),122,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2010,Grants of patents (number),184,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2020,Grants of patents (number),60,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2021,Grants of patents (number),76,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2022,Grants of patents (number),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2005,Patents in force (number),"4,012",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2010,Patents in force (number),"5,680",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2020,Patents in force (number),"9,249",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2021,Patents in force (number),"10,726",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
428,Latvia,2022,Patents in force (number),"11,282",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
426,Lesotho,1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
426,Lesotho,1995,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
434,Libya,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,1995,Resident patent filings (per million population),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2005,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2010,Resident patent filings (per million population),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2020,Resident patent filings (per million population),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2021,Resident patent filings (per million population),55,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2022,Resident patent filings (per million population),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,1995,Grants of patents (number),494,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2005,Grants of patents (number),116,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2010,Grants of patents (number),84,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2020,Grants of patents (number),106,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2021,Grants of patents (number),83,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2022,Grants of patents (number),93,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2005,Patents in force (number),"3,835",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2010,Patents in force (number),"5,202",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2020,Patents in force (number),"12,354",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2021,Patents in force (number),"12,718",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
440,Lithuania,2022,Patents in force (number),"12,990",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,1985,Grants of patents (number),418,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2005,Grants of patents (number),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2010,Grants of patents (number),87,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2020,Grants of patents (number),438,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2021,Grants of patents (number),"1,036",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2022,Grants of patents (number),"1,884",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2005,Patents in force (number),513,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2010,Patents in force (number),"42,805",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2020,Patents in force (number),"165,249",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2021,Patents in force (number),"143,988",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
442,Luxembourg,2022,Patents in force (number),"117,527",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,1995,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2005,Grants of patents (number),32,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2010,Grants of patents (number),55,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2020,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2021,Grants of patents (number),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2022,Grants of patents (number),55,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2005,Patents in force (number),249,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2010,Patents in force (number),387,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2020,Patents in force (number),209,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2021,Patents in force (number),223,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
450,Madagascar,2022,Patents in force (number),217,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
454,Malawi,1985,Grants of patents (number),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
454,Malawi,1995,Grants of patents (number),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
454,Malawi,2010,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,1985,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,1995,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2005,Resident patent filings (per million population),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2010,Resident patent filings (per million population),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2020,Resident patent filings (per million population),30,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2021,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2022,Resident patent filings (per million population),24,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,1985,Grants of patents (number),"1,150",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,1995,Grants of patents (number),"1,753",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2005,Grants of patents (number),"2,508",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2010,Grants of patents (number),"2,160",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2020,Grants of patents (number),"8,206",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2021,Grants of patents (number),"6,876",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2022,Grants of patents (number),"5,957",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2010,Patents in force (number),"20,908",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2020,Patents in force (number),"31,975",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2021,Patents in force (number),"34,141",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
458,Malaysia,2022,Patents in force (number),"35,175",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
466,Mali,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,1985,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,1995,Grants of patents (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2010,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2020,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2021,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2022,Grants of patents (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2010,Patents in force (number),832,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2020,Patents in force (number),248,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2021,Patents in force (number),233,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
470,Malta,2022,Patents in force (number),"1,131",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
478,Mauritania,2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,1985,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,2020,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,2021,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,1985,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,1995,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,2010,Grants of patents (number),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,2020,Grants of patents (number),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,2021,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,2022,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
480,Mauritius,2021,Patents in force (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,1985,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,1995,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2010,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2020,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2021,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2022,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,1985,Grants of patents (number),977,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,1995,Grants of patents (number),"3,538",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2005,Grants of patents (number),"8,098",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2010,Grants of patents (number),"9,399",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2020,Grants of patents (number),"7,726",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2021,Grants of patents (number),"10,369",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2022,Grants of patents (number),"9,698",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2005,Patents in force (number),"48,374",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2010,Patents in force (number),"82,017",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2020,Patents in force (number),"113,330",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2021,Patents in force (number),"117,170",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
484,Mexico,2022,Patents in force (number),"118,484",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,1985,Grants of patents (number),66,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,1995,Grants of patents (number),36,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2005,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2010,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2020,Grants of patents (number),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2021,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2022,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2005,Patents in force (number),"37,483",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2010,Patents in force (number),"53,859",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2020,Patents in force (number),"109,213",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2021,Patents in force (number),"108,388",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
492,Monaco,2022,Patents in force (number),"69,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,1995,Resident patent filings (per million population),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2005,Resident patent filings (per million population),39,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2010,Resident patent filings (per million population),41,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2020,Resident patent filings (per million population),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2021,Resident patent filings (per million population),33,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2022,Resident patent filings (per million population),33,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,1985,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,1995,Grants of patents (number),117,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2005,Grants of patents (number),197,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2010,Grants of patents (number),96,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2020,Grants of patents (number),124,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2021,Grants of patents (number),186,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2022,Grants of patents (number),118,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2005,Patents in force (number),"13,663",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2010,Patents in force (number),"2,645",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2020,Patents in force (number),"1,317",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
