T20,Agricultural production indices,,,,,
442,Luxembourg,2015,Agricultural production (Index Base: 2014-2016 = 100),102.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2020,Agricultural production (Index Base: 2014-2016 = 100),113.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2021,Agricultural production (Index Base: 2014-2016 = 100),112.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2022,Agricultural production (Index Base: 2014-2016 = 100),114.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2005,Food production (Index Base: 2014-2016 = 100),90.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2010,Food production (Index Base: 2014-2016 = 100),91.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2015,Food production (Index Base: 2014-2016 = 100),102.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2020,Food production (Index Base: 2014-2016 = 100),113.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2021,Food production (Index Base: 2014-2016 = 100),112.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
442,Luxembourg,2022,Food production (Index Base: 2014-2016 = 100),114.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,1985,Agricultural production (Index Base: 2014-2016 = 100),75.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,1995,Agricultural production (Index Base: 2014-2016 = 100),71.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2005,Agricultural production (Index Base: 2014-2016 = 100),88.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2010,Agricultural production (Index Base: 2014-2016 = 100),104.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2015,Agricultural production (Index Base: 2014-2016 = 100),98.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2020,Agricultural production (Index Base: 2014-2016 = 100),102.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2021,Agricultural production (Index Base: 2014-2016 = 100),103.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2022,Agricultural production (Index Base: 2014-2016 = 100),105.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,1985,Food production (Index Base: 2014-2016 = 100),74.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,1995,Food production (Index Base: 2014-2016 = 100),71.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2005,Food production (Index Base: 2014-2016 = 100),88.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2010,Food production (Index Base: 2014-2016 = 100),104.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2015,Food production (Index Base: 2014-2016 = 100),98.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2020,Food production (Index Base: 2014-2016 = 100),102.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2021,Food production (Index Base: 2014-2016 = 100),103.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
450,Madagascar,2022,Food production (Index Base: 2014-2016 = 100),105.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,1985,Agricultural production (Index Base: 2014-2016 = 100),19.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2005,Agricultural production (Index Base: 2014-2016 = 100),38.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2010,Agricultural production (Index Base: 2014-2016 = 100),69.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2015,Agricultural production (Index Base: 2014-2016 = 100),99.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2020,Agricultural production (Index Base: 2014-2016 = 100),134.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2021,Agricultural production (Index Base: 2014-2016 = 100),139.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2022,Agricultural production (Index Base: 2014-2016 = 100),142.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,1985,Food production (Index Base: 2014-2016 = 100),17.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2005,Food production (Index Base: 2014-2016 = 100),37.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2010,Food production (Index Base: 2014-2016 = 100),67.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2015,Food production (Index Base: 2014-2016 = 100),99.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2020,Food production (Index Base: 2014-2016 = 100),137.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2021,Food production (Index Base: 2014-2016 = 100),143.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
454,Malawi,2022,Food production (Index Base: 2014-2016 = 100),146.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,1985,Agricultural production (Index Base: 2014-2016 = 100),39.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,1995,Agricultural production (Index Base: 2014-2016 = 100),58.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2005,Agricultural production (Index Base: 2014-2016 = 100),79.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2010,Agricultural production (Index Base: 2014-2016 = 100),87.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2015,Agricultural production (Index Base: 2014-2016 = 100),103.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2020,Agricultural production (Index Base: 2014-2016 = 100),102.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2021,Agricultural production (Index Base: 2014-2016 = 100),98.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2022,Agricultural production (Index Base: 2014-2016 = 100),98.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,1985,Food production (Index Base: 2014-2016 = 100),40.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,1995,Food production (Index Base: 2014-2016 = 100),62.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2005,Food production (Index Base: 2014-2016 = 100),69.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2010,Food production (Index Base: 2014-2016 = 100),80.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2015,Food production (Index Base: 2014-2016 = 100),100.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2020,Food production (Index Base: 2014-2016 = 100),102.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2021,Food production (Index Base: 2014-2016 = 100),102.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
458,Malaysia,2022,Food production (Index Base: 2014-2016 = 100),102.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,1985,Agricultural production (Index Base: 2014-2016 = 100),180.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2005,Agricultural production (Index Base: 2014-2016 = 100),135.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2010,Agricultural production (Index Base: 2014-2016 = 100),114.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2015,Agricultural production (Index Base: 2014-2016 = 100),99.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2020,Agricultural production (Index Base: 2014-2016 = 100),107.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2021,Agricultural production (Index Base: 2014-2016 = 100),94.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2022,Agricultural production (Index Base: 2014-2016 = 100),94.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,1985,Food production (Index Base: 2014-2016 = 100),180.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2005,Food production (Index Base: 2014-2016 = 100),135.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2010,Food production (Index Base: 2014-2016 = 100),114.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2015,Food production (Index Base: 2014-2016 = 100),99.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2020,Food production (Index Base: 2014-2016 = 100),107.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2021,Food production (Index Base: 2014-2016 = 100),94.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
462,Maldives,2022,Food production (Index Base: 2014-2016 = 100),94.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,1985,Agricultural production (Index Base: 2014-2016 = 100),27.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,1995,Agricultural production (Index Base: 2014-2016 = 100),42.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2005,Agricultural production (Index Base: 2014-2016 = 100),59.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2010,Agricultural production (Index Base: 2014-2016 = 100),77.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2015,Agricultural production (Index Base: 2014-2016 = 100),97.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2020,Agricultural production (Index Base: 2014-2016 = 100),127.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2021,Agricultural production (Index Base: 2014-2016 = 100),126.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2022,Agricultural production (Index Base: 2014-2016 = 100),132.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,1985,Food production (Index Base: 2014-2016 = 100),26.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,1995,Food production (Index Base: 2014-2016 = 100),39.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2005,Food production (Index Base: 2014-2016 = 100),56.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2010,Food production (Index Base: 2014-2016 = 100),80.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2015,Food production (Index Base: 2014-2016 = 100),98.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2020,Food production (Index Base: 2014-2016 = 100),136.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2021,Food production (Index Base: 2014-2016 = 100),126.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
466,Mali,2022,Food production (Index Base: 2014-2016 = 100),136.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,1985,Agricultural production (Index Base: 2014-2016 = 100),97.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,1995,Agricultural production (Index Base: 2014-2016 = 100),114.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2005,Agricultural production (Index Base: 2014-2016 = 100),109.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2010,Agricultural production (Index Base: 2014-2016 = 100),108.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2015,Agricultural production (Index Base: 2014-2016 = 100),99.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2020,Agricultural production (Index Base: 2014-2016 = 100),77.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2021,Agricultural production (Index Base: 2014-2016 = 100),75.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2022,Agricultural production (Index Base: 2014-2016 = 100),75.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,1985,Food production (Index Base: 2014-2016 = 100),97.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,1995,Food production (Index Base: 2014-2016 = 100),114.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2005,Food production (Index Base: 2014-2016 = 100),109.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2010,Food production (Index Base: 2014-2016 = 100),108.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2015,Food production (Index Base: 2014-2016 = 100),99.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2020,Food production (Index Base: 2014-2016 = 100),77.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2021,Food production (Index Base: 2014-2016 = 100),75.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
470,Malta,2022,Food production (Index Base: 2014-2016 = 100),76.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,1995,Agricultural production (Index Base: 2014-2016 = 100),175.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2005,Agricultural production (Index Base: 2014-2016 = 100),97.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2010,Agricultural production (Index Base: 2014-2016 = 100),113.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2015,Agricultural production (Index Base: 2014-2016 = 100),90.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2020,Agricultural production (Index Base: 2014-2016 = 100),90.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2021,Agricultural production (Index Base: 2014-2016 = 100),90.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2022,Agricultural production (Index Base: 2014-2016 = 100),90.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,1995,Food production (Index Base: 2014-2016 = 100),175.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2005,Food production (Index Base: 2014-2016 = 100),97.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2010,Food production (Index Base: 2014-2016 = 100),113.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2015,Food production (Index Base: 2014-2016 = 100),90.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2020,Food production (Index Base: 2014-2016 = 100),90.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2021,Food production (Index Base: 2014-2016 = 100),90.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
584,Marshall Islands,2022,Food production (Index Base: 2014-2016 = 100),90.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,1985,Agricultural production (Index Base: 2014-2016 = 100),45.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,1995,Agricultural production (Index Base: 2014-2016 = 100),54.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2005,Agricultural production (Index Base: 2014-2016 = 100),79.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2010,Agricultural production (Index Base: 2014-2016 = 100),86.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2015,Agricultural production (Index Base: 2014-2016 = 100),100.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2020,Agricultural production (Index Base: 2014-2016 = 100),108.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2021,Agricultural production (Index Base: 2014-2016 = 100),114.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2022,Agricultural production (Index Base: 2014-2016 = 100),116.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,1985,Food production (Index Base: 2014-2016 = 100),45.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,1995,Food production (Index Base: 2014-2016 = 100),54.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2005,Food production (Index Base: 2014-2016 = 100),79.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2010,Food production (Index Base: 2014-2016 = 100),86.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2015,Food production (Index Base: 2014-2016 = 100),100.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2020,Food production (Index Base: 2014-2016 = 100),108.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2021,Food production (Index Base: 2014-2016 = 100),114.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
478,Mauritania,2022,Food production (Index Base: 2014-2016 = 100),116.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,1985,Agricultural production (Index Base: 2014-2016 = 100),93.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,1995,Agricultural production (Index Base: 2014-2016 = 100),107.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2005,Agricultural production (Index Base: 2014-2016 = 100),105.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2010,Agricultural production (Index Base: 2014-2016 = 100),106.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2015,Agricultural production (Index Base: 2014-2016 = 100),99.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2020,Agricultural production (Index Base: 2014-2016 = 100),80.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2021,Agricultural production (Index Base: 2014-2016 = 100),83.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2022,Agricultural production (Index Base: 2014-2016 = 100),84.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,1985,Food production (Index Base: 2014-2016 = 100),92.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,1995,Food production (Index Base: 2014-2016 = 100),106.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2005,Food production (Index Base: 2014-2016 = 100),105.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2010,Food production (Index Base: 2014-2016 = 100),106.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2015,Food production (Index Base: 2014-2016 = 100),99.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2020,Food production (Index Base: 2014-2016 = 100),80.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2021,Food production (Index Base: 2014-2016 = 100),83.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
480,Mauritius,2022,Food production (Index Base: 2014-2016 = 100),84.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,1985,Agricultural production (Index Base: 2014-2016 = 100),53.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,1995,Agricultural production (Index Base: 2014-2016 = 100),63.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2005,Agricultural production (Index Base: 2014-2016 = 100),80.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2010,Agricultural production (Index Base: 2014-2016 = 100),88.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2015,Agricultural production (Index Base: 2014-2016 = 100),98.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2020,Agricultural production (Index Base: 2014-2016 = 100),112.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2021,Agricultural production (Index Base: 2014-2016 = 100),114.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2022,Agricultural production (Index Base: 2014-2016 = 100),117.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,1985,Food production (Index Base: 2014-2016 = 100),52.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,1995,Food production (Index Base: 2014-2016 = 100),62.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2005,Food production (Index Base: 2014-2016 = 100),80.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2010,Food production (Index Base: 2014-2016 = 100),89.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2015,Food production (Index Base: 2014-2016 = 100),98.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2020,Food production (Index Base: 2014-2016 = 100),112.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2021,Food production (Index Base: 2014-2016 = 100),114.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
484,Mexico,2022,Food production (Index Base: 2014-2016 = 100),117.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
583,Micronesia (Fed. States of),1995,Agricultural production (Index Base: 2014-2016 = 100),73.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
583,Micronesia (Fed. States of),2005,Agricultural production (Index Base: 2014-2016 = 100),69.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
583,Micronesia (Fed. States of),2010,Agricultural production (Index Base: 2014-2016 = 100),65.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
